品类,时段,主播风格,场次在线峰值,场均观看人数,平均观看时长,点赞数,评论数,分享数,商品点击数,讲解商品数量,场均GMV,客单价,退货率,粉丝占比,付费流量占比,转化率,标签
美妆,深夜场,测评型,11030.0,52279.0,17.21,83001,1972.0,341,11157,6,247101.48,98.46,0.2112,0.6891,0.0872,4.701,1
食品,深夜场,娱乐互动型,5777.0,36840.0,11.29,30024,999.0,381,2840,6,105743.78,25.27,0.2252,0.7261,0.1384,1.88,0
数码,深夜场,福利型,10928.0,,28.1,78473,1656.0,678,13403,9,85813.38,85.68,0.1838,0.6788,0.1661,4.439,1
服饰,晚场,娱乐互动型,7925.0,32590.0,13.54,66888,788.0,209,4577,4,90450.2,45.4,0.2556,0.869,0.0968,1.594,0
食品,深夜场,福利型,16122.0,60940.0,30.76,187268,4626.0,828,31298,14,244672.66,117.59,0.2418,0.5638,0.383,6.052,2
服饰,深夜场,专业讲解型,12652.0,64163.0,32.66,157007,8210.0,1029,44337,10,506996.41,110.75,0.1396,0.5642,0.507,7.05,2
数码,晚场,娱乐互动型,19247.0,124569.0,31.67,113947,2809.0,1519,21995,7,745455.88,109.9,0.145,0.4447,0.4769,6.234,2
美妆,午场,娱乐互动型,12373.0,63903.0,22.33,130097,2576.0,888,8886,8,152211.46,90.23,0.2724,0.6233,0.246,3.034,1
数码,早场,福利型,22357.0,178922.0,39.87,183780,7386.0,2111,56260,20,899448.09,126.45,0.118,0.5339,0.4719,11.834,3
数码,午场,福利型,50348.0,219250.0,45.81,288180,10306.0,2759,40660,14,1245839.32,138.68,0.0842,0.4423,0.6402,12.053,3
数码,晚场,福利型,37306.0,145633.0,35.07,138887,3341.0,1499,26489,14,530391.65,110.01,0.1755,0.6122,0.4746,6.287,2
食品,午场,专业讲解型,7669.0,20144.0,8.56,36234,1108.0,356,4954,5,47550.46,55.21,0.2595,0.6788,0.3439,1.429,0
服饰,晚场,福利型,16491.0,80307.0,24.77,151380,2585.0,731,12873,9,113773.25,77.51,0.2005,0.5576,0.4145,4.694,1
数码,深夜场,福利型,6903.0,22427.0,16.81,27450,1057.0,211,2768,5,54361.65,87.36,0.3013,0.7609,0.1999,1.533,0
美妆,晚场,专业讲解型,6221.0,25459.0,11.0,41857,917.0,100,4038,7,111122.15,73.47,0.2714,0.6924,0.0933,0.955,0
数码,晚场,专业讲解型,33717.0,,27.02,160978,4639.0,1018,21610,13,474810.29,93.69,0.1809,0.5178,0.4295,6.207,2
美妆,早场,娱乐互动型,31409.0,86005.0,23.53,107885,4995.0,1279,25039,15,188348.52,112.13,0.2247,0.4598,0.3796,9.009,2
数码,早场,娱乐互动型,62637.0,,41.66,806446,10479.0,5822,58235,18,1113728.46,202.22,0.1498,0.3934,0.6275,16.099,3
食品,午场,福利型,11096.0,62183.0,23.06,109971,2401.0,264,12996,7,108652.22,74.95,0.2229,0.6045,0.3465,2.852,1
美妆,晚场,专业讲解型,12811.0,73381.0,18.97,109524,1840.0,233,5610,8,196592.44,74.14,0.219,0.678,0.3558,5.102,2
美妆,早场,娱乐互动型,11926.0,79176.0,21.27,40724,1140.0,402,8783,8,182447.1,70.39,0.2567,0.6059,0.211,2.449,1
数码,晚场,福利型,6679.0,29569.0,22.35,32373,,190,2791,6,52626.29,41.47,0.2839,0.8044,0.1302,1.644,0
服饰,深夜场,娱乐互动型,3612.0,25524.0,21.45,20839,823.0,148,4363,4,52741.84,88.88,0.2641,0.7931,0.1614,0.3,0
美妆,深夜场,测评型,13109.0,75299.0,24.24,104479,1203.0,464,14186,10,166700.26,91.96,0.2372,0.756,0.3031,3.536,1
食品,深夜场,测评型,5265.0,8981.0,9.11,40995,945.0,115,3344,8,47188.67,95.37,0.2699,0.7926,0.3093,1.343,0
食品,晚场,福利型,24534.0,96472.0,30.98,159644,6833.0,1281,23750,12,612404.65,116.1,0.135,0.4667,0.4984,8.704,2
食品,晚场,专业讲解型,14778.0,46678.0,23.92,109958,2052.0,610,6699,9,191053.67,67.31,0.2505,0.7783,0.4235,3.994,1
美妆,晚场,福利型,30714.0,139873.0,32.52,276174,4843.0,958,22770,14,566993.7,111.12,0.1935,0.52,0.4705,5.887,2
数码,午场,福利型,18252.0,76032.0,27.82,144799,5036.0,1139,23343,14,540633.98,110.69,0.1843,0.5993,0.2414,9.643,2
食品,午场,专业讲解型,10985.0,75326.0,27.75,91251,1510.0,577,8867,8,254195.73,65.96,0.2482,,0.2036,3.57,1
食品,晚场,福利型,20017.0,109469.0,29.85,250291,3539.0,1493,17474,12,588559.05,149.01,0.1218,0.6678,0.422,7.073,2
美妆,晚场,福利型,23736.0,195187.0,30.17,307661,3946.0,1236,18450,13,939262.16,103.61,0.1631,0.4608,0.3917,10.194,3
美妆,早场,测评型,15914.0,117066.0,20.65,140471,1960.0,453,12058,9,187091.04,68.65,0.1711,0.5365,0.3323,3.243,1
食品,晚场,专业讲解型,16215.0,71596.0,20.38,130562,3128.0,579,14338,11,315451.85,87.05,0.2409,0.7016,0.1922,4.576,1
食品,晚场,娱乐互动型,35695.0,167419.0,37.95,188224,3303.0,1154,26862,13,842259.96,98.5,0.1823,0.4709,0.446,5.552,2
服饰,晚场,福利型,6163.0,28676.0,23.09,38886,844.0,100,3154,5,60331.43,79.87,0.2642,0.8631,0.1849,1.703,0
服饰,晚场,专业讲解型,10501.0,17179.0,8.0,28940,804.0,233,4886,5,109570.37,73.54,0.2764,0.837,0.2018,1.315,0
服饰,午场,福利型,5502.0,37574.0,8.0,24506,607.0,180,3871,3,46043.29,39.5,0.356,0.9041,0.1471,0.369,0
数码,晚场,专业讲解型,23982.0,105740.0,31.66,102810,3293.0,1163,29232,13,356783.59,120.38,0.142,0.6006,0.4091,6.484,2
食品,晚场,娱乐互动型,29419.0,131000.0,38.13,294520,4520.0,1682,48274,16,368522.06,88.32,0.222,0.4653,0.3042,7.41,2
食品,早场,测评型,17502.0,97161.0,29.15,132307,9556.0,1231,34531,12,449754.22,92.16,0.0772,0.4398,0.2652,7.926,2
美妆,深夜场,测评型,17836.0,136558.0,33.64,236713,,1342,32828,11,502101.53,115.19,0.1508,0.4602,0.3153,7.372,2
美妆,午场,娱乐互动型,12054.0,47575.0,23.11,119354,2570.0,995,15799,6,324476.15,66.44,0.2566,0.6654,0.247,4.169,1
食品,午场,福利型,14421.0,84744.0,19.81,108646,1605.0,434,13453,8,330905.77,67.32,0.255,0.6678,0.3437,3.419,1
数码,午场,娱乐互动型,4352.0,30680.0,18.6,49543,1575.0,359,3725,6,52254.55,55.42,0.249,0.8896,0.2091,0.537,0
美妆,深夜场,专业讲解型,2691.0,27282.0,16.24,38206,,178,7974,7,59320.9,47.1,0.2562,0.5897,0.2006,1.402,0
服饰,深夜场,娱乐互动型,13060.0,77693.0,32.21,99800,6131.0,1684,23992,8,291260.1,127.19,0.0728,0.5222,0.3156,8.697,2
服饰,午场,娱乐互动型,12887.0,91789.0,22.19,111500,1230.0,867,8231,7,178603.83,47.87,0.228,0.7374,0.3034,2.679,1
美妆,午场,测评型,6501.0,44333.0,26.51,93427,2079.0,973,12198,10,464851.4,72.15,0.1921,0.6942,0.3151,3.543,1
美妆,深夜场,娱乐互动型,19790.0,82354.0,35.66,199241,4526.0,1566,17196,13,806333.47,113.39,0.1568,0.5094,0.3772,6.948,2
数码,早场,福利型,12925.0,142655.0,30.48,236193,3333.0,2095,38733,14,282484.01,119.92,0.1842,0.4216,0.4081,8.951,2
美妆,晚场,专业讲解型,14082.0,98924.0,27.9,31161,1610.0,450,5993,9,328828.56,56.44,0.2318,0.5867,0.2262,4.103,1
服饰,早场,测评型,6514.0,92390.0,25.41,79740,2201.0,280,15329,8,167592.01,67.15,0.1997,0.7156,0.3005,3.55,1
食品,午场,专业讲解型,9782.0,101278.0,16.73,132155,2905.0,347,21428,10,252864.94,76.5,0.2124,0.6432,0.3112,2.966,1
服饰,晚场,专业讲解型,8175.0,38624.0,18.62,45434,727.0,126,3181,3,83332.09,53.5,0.2546,0.5236,0.0802,1.069,0
数码,早场,福利型,7452.0,83106.0,22.42,108194,4671.0,982,9518,7,160615.95,85.18,0.2163,0.6284,0.3974,4.072,1
服饰,晚场,娱乐互动型,10699.0,33546.0,19.85,31233,682.0,246,5762,6,48894.46,30.52,0.2201,0.6186,0.1888,1.128,0
美妆,晚场,专业讲解型,12304.0,65710.0,31.38,51042,1569.0,917,12126,10,221091.32,81.94,0.2472,0.5952,0.3502,3.742,1
数码,午场,测评型,17671.0,114349.0,29.51,123700,3799.0,723,28829,10,615834.38,83.73,0.1502,0.5,0.516,5.976,2
服饰,午场,福利型,3048.0,25721.0,23.99,42158,942.0,254,5593,3,36074.02,58.79,0.245,0.865,0.1548,1.964,0
食品,晚场,娱乐互动型,6078.0,29268.0,14.3,58716,1399.0,194,2121,7,93156.21,60.57,0.3044,0.6668,0.3407,0.715,0
服饰,晚场,娱乐互动型,10003.0,99987.0,21.96,131155,2248.0,530,16245,8,113887.71,61.54,0.2393,0.6916,0.1546,2.606,1
食品,晚场,娱乐互动型,8829.0,58490.0,20.09,128053,2747.0,522,9262,9,159599.89,55.36,0.1871,0.6092,0.1869,3.164,1
服饰,晚场,福利型,24954.0,128440.0,33.37,206064,,782,26245,15,260951.6,111.22,0.2116,0.5378,0.454,6.192,2
服饰,晚场,福利型,6732.0,86630.0,19.06,83344,1274.0,323,9931,7,,84.15,0.2312,0.6791,0.4062,4.671,1
服饰,早场,娱乐互动型,29921.0,80599.0,30.75,332972,5907.0,1362,24250,12,530947.3,100.46,0.1685,0.5563,0.3558,6.969,2
数码,晚场,测评型,27133.0,112213.0,34.31,182957,5614.0,1719,27651,15,249334.73,133.63,0.1831,0.6362,0.3124,8.273,2
食品,早场,娱乐互动型,11907.0,76063.0,15.94,137448,2076.0,510,6557,10,77325.14,87.67,0.1678,0.6643,0.2705,3.673,1
数码,晚场,福利型,21502.0,186544.0,34.15,180864,4552.0,697,29441,9,736883.13,107.32,0.2535,0.462,0.4018,7.435,2
服饰,早场,娱乐互动型,5855.0,26012.0,17.13,31518,891.0,112,4385,6,60026.76,25.93,0.3046,0.7892,0.1219,0.3,0
美妆,晚场,测评型,5582.0,41708.0,13.44,43790,662.0,197,4014,7,63606.63,26.69,0.2216,0.7174,0.0801,1.594,0
美妆,午场,娱乐互动型,3381.0,27357.0,11.49,33866,966.0,100,4530,9,55461.21,59.68,0.3059,0.7469,0.1335,0.539,0
数码,早场,专业讲解型,15815.0,118697.0,29.67,149606,5316.0,661,36351,10,380634.89,139.61,0.2095,0.5578,0.3348,7.753,2
服饰,晚场,娱乐互动型,12653.0,67914.0,22.14,59010,1727.0,781,6776,8,159422.42,78.0,0.2064,0.7782,0.3205,3.342,1
数码,深夜场,专业讲解型,4024.0,24184.0,14.03,47839,610.0,142,3404,4,82128.2,66.32,0.3298,0.9414,0.0975,0.3,0
美妆,晚场,专业讲解型,10880.0,52544.0,18.79,80814,1175.0,661,7827,14,181360.49,77.3,0.1747,0.7965,0.3696,4.956,1
数码,晚场,福利型,4741.0,44221.0,19.24,41617,392.0,142,5233,8,113081.77,26.34,0.2806,0.8412,0.0473,0.651,0
食品,晚场,福利型,14752.0,125088.0,30.69,196545,4059.0,1069,25671,13,509154.33,97.63,0.1732,0.3963,0.4482,8.001,2
服饰,晚场,娱乐互动型,7512.0,41783.0,24.1,97506,2197.0,463,12987,10,,71.31,,0.7215,0.3777,3.877,1
食品,午场,娱乐互动型,13997.0,85639.0,19.5,90301,2688.0,564,7343,9,220409.77,77.58,0.2277,0.6393,0.3983,3.001,1
美妆,早场,福利型,14069.0,39888.0,17.76,47904,2093.0,360,9284,10,143799.06,80.16,0.2095,0.7138,0.318,3.921,1
数码,晚场,测评型,27665.0,95698.0,34.62,123142,7049.0,1623,28527,13,526440.99,117.21,0.157,0.5688,0.4798,8.454,2
服饰,晚场,专业讲解型,9634.0,43330.0,25.92,160095,2964.0,258,13241,11,181016.43,77.83,0.1497,0.6813,0.1949,4.547,1
食品,晚场,娱乐互动型,8646.0,25224.0,11.45,18925,838.0,165,2556,6,65523.71,35.64,0.2506,0.8457,0.2282,0.425,0
美妆,深夜场,娱乐互动型,4773.0,23198.0,14.12,46876,700.0,251,5011,3,84789.47,19.0,0.2484,0.842,0.1546,1.536,0
食品,晚场,测评型,28938.0,344257.0,42.78,237167,7338.0,1766,79165,19,633563.74,137.74,0.0898,0.5535,0.442,15.979,3
食品,深夜场,福利型,29880.0,154841.0,37.9,427970,6734.0,1305,53135,14,647729.63,128.64,0.0895,0.6101,0.5545,12.318,3
食品,晚场,福利型,26319.0,105037.0,35.63,135880,4473.0,1012,27403,11,515165.28,100.75,0.1443,0.5888,0.4291,6.415,2
服饰,晚场,福利型,6075.0,28415.0,16.42,72887,575.0,277,2291,6,133110.64,63.8,0.276,0.7152,0.1825,1.393,0
服饰,早场,专业讲解型,44398.0,181603.0,39.77,223635,10318.0,3198,64616,19,1010606.82,152.06,0.1306,0.4427,0.5075,16.382,3
食品,晚场,测评型,27981.0,144518.0,26.38,266638,4160.0,721,38035,14,363838.78,136.99,0.1931,0.5492,0.5372,6.72,2
数码,早场,专业讲解型,24715.0,129552.0,32.06,136518,4500.0,1071,16968,10,584987.09,58.17,0.1772,0.5118,0.5147,6.021,2
食品,早场,福利型,11355.0,69731.0,21.15,138546,1461.0,617,14106,10,352028.65,62.26,0.1717,0.5805,0.3328,2.927,1
服饰,午场,娱乐互动型,6817.0,19142.0,20.64,109422,1045.0,258,3587,3,52637.85,35.33,0.2194,0.8978,0.2018,1.227,0
数码,早场,专业讲解型,7205.0,25790.0,18.12,32679,,105,2230,5,66298.09,31.85,0.2688,0.7643,0.03,0.509,0
美妆,早场,测评型,30406.0,228889.0,47.09,472519,8704.0,2176,49055,18,1049258.46,156.33,0.1246,0.5155,0.5576,15.3,3
数码,深夜场,福利型,5701.0,73368.0,24.03,53642,1612.0,740,9601,7,252760.55,57.15,0.1921,0.6769,0.3112,2.465,1
食品,午场,福利型,6307.0,24368.0,16.25,41793,991.0,277,5016,6,48969.28,56.22,0.269,0.7755,0.3565,1.092,0
食品,晚场,福利型,13341.0,122783.0,21.49,109491,1565.0,482,11370,10,237496.88,98.66,0.2167,0.6334,0.4963,4.222,1
美妆,早场,专业讲解型,8448.0,73301.0,21.54,88874,1760.0,633,8007,6,194700.19,86.82,0.2316,0.5952,0.3342,3.295,1
美妆,早场,测评型,7917.0,30461.0,18.42,54156,2141.0,100,3316,4,48259.87,35.6,0.2595,0.6627,0.2068,0.405,0
美妆,早场,专业讲解型,24862.0,104750.0,40.48,195391,2240.0,751,14896,13,459966.78,96.57,0.2404,0.5939,0.4681,5.467,2
美妆,午场,福利型,22042.0,72302.0,31.28,208022,4586.0,928,21877,12,495499.38,115.89,0.2078,0.5265,0.3735,8.942,2
美妆,晚场,测评型,30918.0,173355.0,37.17,335415,3175.0,1105,26093,12,451266.7,78.26,0.1732,0.4885,0.4169,9.257,2
食品,早场,娱乐互动型,11474.0,67038.0,31.74,107712,2453.0,366,6955,12,130286.9,57.21,0.2186,0.6528,0.2078,2.889,1
服饰,晚场,娱乐互动型,16773.0,171759.0,33.97,166590,2842.0,953,25548,15,394057.51,103.48,0.1936,0.3595,0.4927,6.978,2
数码,晚场,专业讲解型,17585.0,78546.0,13.49,64584,1889.0,445,12233,10,262809.49,72.14,0.1554,0.6236,0.3133,2.631,1
服饰,早场,福利型,21759.0,53462.0,26.89,400568,4084.0,595,38604,13,,109.99,0.186,0.579,0.4658,7.076,2
食品,早场,专业讲解型,6232.0,34586.0,20.81,30145,1202.0,256,9566,4,54423.56,49.49,0.2528,0.6888,0.03,0.818,0
数码,晚场,福利型,22316.0,68669.0,28.16,107115,2764.0,613,16271,9,252677.39,82.59,0.2099,0.6924,0.4588,4.108,1
美妆,午场,福利型,7568.0,26076.0,8.0,48228,423.0,361,4434,7,47401.24,27.05,0.2791,0.7573,0.1407,1.367,0
服饰,早场,娱乐互动型,14757.0,71623.0,28.92,91458,1008.0,513,13614,7,169224.93,63.55,0.2726,0.72,0.3321,3.789,1
食品,深夜场,娱乐互动型,6788.0,28875.0,23.6,109487,3160.0,1002,17353,7,136843.95,84.65,0.3086,0.7784,0.3696,3.075,1
服饰,深夜场,测评型,3475.0,21066.0,15.54,61121,706.0,100,4935,4,56740.33,53.44,0.2604,0.8232,0.0574,0.501,0
数码,深夜场,专业讲解型,3014.0,26427.0,20.49,34453,402.0,235,2469,6,40974.59,34.12,0.2545,0.7453,0.1285,0.869,0
美妆,晚场,专业讲解型,14043.0,57487.0,19.54,47752,1992.0,419,4914,7,154951.07,104.36,0.1604,0.5447,0.3688,4.052,1
数码,午场,专业讲解型,6535.0,14531.0,8.56,31724,1376.0,152,4337,8,135883.37,44.62,0.2694,0.9058,0.0582,0.524,0
服饰,午场,娱乐互动型,39241.0,173144.0,39.07,456053,14664.0,2846,61361,19,697488.48,158.31,0.1487,0.6583,0.5199,14.535,3
数码,晚场,娱乐互动型,11173.0,61878.0,25.16,73168,1792.0,571,14441,7,111456.76,41.5,0.1759,0.5549,0.2676,3.062,1
数码,午场,专业讲解型,9723.0,80726.0,25.65,85481,1531.0,407,11661,10,131012.24,76.66,0.1489,0.6769,0.341,2.145,1
服饰,晚场,娱乐互动型,13794.0,67829.0,22.6,93915,2149.0,761,16317,8,282543.33,63.37,0.2468,0.599,0.3673,3.798,1
服饰,深夜场,专业讲解型,4057.0,30424.0,18.21,38185,1138.0,216,6201,7,95217.1,61.46,0.3017,0.7354,0.1319,0.3,0
美妆,深夜场,专业讲解型,37393.0,163395.0,43.04,595083,10930.0,1356,56006,21,782036.0,112.59,0.1863,0.5046,0.5444,13.061,3
数码,早场,福利型,15171.0,66419.0,23.98,102857,1947.0,821,7960,5,223187.2,87.36,0.2368,0.6926,0.2544,3.583,1
食品,早场,娱乐互动型,19243.0,190583.0,25.06,246569,2747.0,1214,22631,8,550017.04,98.16,0.0965,0.6172,0.5248,8.821,2
数码,深夜场,娱乐互动型,6860.0,34051.0,20.53,28950,987.0,244,2353,6,123855.0,66.52,0.3216,0.7746,0.1741,0.779,0
服饰,晚场,福利型,18503.0,96451.0,19.04,137168,2007.0,628,12166,10,218639.15,101.38,0.2308,0.7099,0.2133,5.381,2
服饰,晚场,福利型,8273.0,55716.0,27.95,108074,1059.0,819,8823,11,205969.64,79.68,0.2613,0.5882,0.2006,4.667,1
食品,晚场,测评型,31066.0,318962.0,40.59,313821,4698.0,2008,59854,19,882833.35,174.83,0.096,0.3954,0.673,11.602,3
服饰,午场,专业讲解型,16066.0,,19.73,83746,1857.0,329,10314,9,268279.72,97.73,0.2085,0.6429,0.3331,3.96,1
食品,午场,专业讲解型,8385.0,45660.0,28.79,80471,3196.0,394,11525,13,124321.57,41.84,0.265,0.5939,0.2783,4.325,1
美妆,晚场,测评型,6171.0,34331.0,11.97,27393,708.0,104,3668,6,66690.3,50.12,0.2693,0.7075,0.2353,0.868,0
食品,晚场,福利型,12137.0,74988.0,29.26,116797,,655,15578,8,300949.8,63.58,0.168,0.6713,0.1395,2.789,1
数码,晚场,测评型,9071.0,52875.0,22.75,74787,2937.0,689,12303,9,243739.91,60.48,0.25,0.571,0.3468,4.551,1
食品,晚场,福利型,14519.0,33467.0,24.21,93947,2033.0,722,10251,6,202144.01,77.22,0.224,0.673,0.3631,2.979,1
服饰,午场,专业讲解型,3383.0,27194.0,13.66,30741,582.0,168,7570,3,43164.73,31.57,0.3305,0.723,0.1779,0.545,0
食品,晚场,专业讲解型,49320.0,,28.59,225790,3214.0,560,36029,15,816820.06,96.54,0.1642,0.61,0.4413,5.674,2
美妆,午场,专业讲解型,56814.0,163078.0,45.56,404294,11702.0,3621,48043,14,813072.87,161.0,0.101,0.3945,0.4043,11.676,3
数码,晚场,福利型,8509.0,35438.0,15.02,38007,792.0,563,5017,5,,36.8,0.3227,0.7071,0.2201,0.976,0
食品,晚场,测评型,13019.0,67481.0,20.69,72626,3021.0,460,8165,7,312186.58,88.16,0.2396,0.6394,0.3259,2.731,1
美妆,早场,福利型,7025.0,20340.0,12.58,41810,1683.0,100,4591,3,52058.67,48.44,0.2553,0.7173,0.1806,0.527,0
服饰,晚场,测评型,30595.0,167543.0,25.84,199852,5447.0,743,26076,12,1079284.15,139.64,0.1117,0.7495,0.3368,9.838,2
美妆,晚场,测评型,14902.0,66624.0,25.22,92147,2736.0,493,9950,11,260241.46,89.17,0.1967,0.5764,0.2346,3.89,1
服饰,晚场,专业讲解型,23726.0,194061.0,37.47,196006,3225.0,2001,25497,13,502923.86,88.98,0.1186,0.6006,0.3473,7.157,2
美妆,晚场,专业讲解型,28584.0,198894.0,32.26,219915,2255.0,850,18440,9,590071.45,64.63,0.1237,0.507,0.3435,6.798,2
食品,午场,福利型,25924.0,152953.0,31.99,230196,5914.0,1334,22896,12,360553.61,112.59,0.1667,0.4969,0.357,5.893,2
食品,午场,专业讲解型,4319.0,31824.0,13.76,21393,1143.0,146,3684,6,96959.51,55.36,0.228,0.8035,0.1412,1.503,0
食品,晚场,娱乐互动型,54775.0,422120.0,49.3,785798,7243.0,4228,47622,18,740654.06,133.4,0.0963,0.5219,0.6141,14.141,3
服饰,晚场,福利型,5266.0,38131.0,20.71,58255,706.0,100,2386,8,66650.5,41.49,0.3275,0.8612,0.182,1.06,0
美妆,晚场,娱乐互动型,10158.0,34097.0,18.9,60603,610.0,275,3822,3,36417.24,36.67,0.2886,0.7691,0.1947,1.604,0
服饰,午场,专业讲解型,11978.0,48248.0,23.11,48553,2948.0,370,20114,8,257952.54,75.04,0.2189,0.6133,0.2895,3.308,1
美妆,深夜场,专业讲解型,7594.0,48344.0,20.56,190096,1744.0,863,9862,9,97480.91,67.95,0.2274,0.7869,0.2978,3.714,1
数码,午场,福利型,20655.0,209032.0,30.06,158294,3237.0,3067,33795,12,743184.29,117.38,0.2388,0.4262,0.3888,6.935,2
服饰,晚场,专业讲解型,22973.0,163261.0,41.44,159066,3710.0,1150,35659,11,454166.55,124.03,0.1833,0.3864,0.312,7.598,2
数码,早场,测评型,10487.0,58192.0,25.94,52839,,532,10169,10,117053.29,82.43,0.2582,0.6989,0.2911,2.339,1
美妆,晚场,专业讲解型,,251988.0,39.44,303025,9655.0,2255,70080,19,1578469.72,170.62,0.1549,0.3753,0.4777,11.449,3
食品,深夜场,专业讲解型,8359.0,44300.0,20.31,76105,2718.0,517,23158,9,139855.67,76.07,0.229,0.6948,0.4461,2.272,1
美妆,晚场,娱乐互动型,8360.0,82982.0,28.07,72414,2063.0,286,7018,11,180408.82,56.04,0.228,0.6182,0.2423,3.293,1
数码,深夜场,娱乐互动型,4938.0,28492.0,20.95,31891,1277.0,153,7534,3,88990.71,43.18,0.3405,0.8073,0.0987,0.3,0
服饰,午场,娱乐互动型,41176.0,222469.0,46.03,433544,6581.0,2195,64688,20,1725283.08,159.03,0.1301,0.5099,0.4967,10.467,3
服饰,晚场,专业讲解型,7125.0,32136.0,18.75,42371,870.0,222,4143,6,59486.61,61.65,0.2934,0.7064,0.1841,0.488,0
服饰,早场,测评型,7839.0,33937.0,18.15,69798,748.0,569,3905,6,56552.25,61.7,0.2992,0.7509,0.3221,0.3,0
数码,晚场,娱乐互动型,14593.0,66184.0,20.57,74488,5273.0,499,6587,7,208600.84,85.84,0.2394,0.7141,0.2284,4.875,1
数码,深夜场,专业讲解型,27935.0,140570.0,47.26,458114,12667.0,2639,76932,14,1140030.52,148.19,0.1419,0.4804,0.471,10.929,3
数码,晚场,福利型,60124.0,184409.0,39.08,321415,9133.0,1781,38064,16,1191842.67,123.75,0.1159,0.5347,0.4459,14.878,3
食品,晚场,专业讲解型,21102.0,181511.0,30.78,264947,4996.0,965,30313,13,809656.05,95.13,0.1714,0.5451,0.4663,5.947,2
服饰,午场,福利型,29047.0,297583.0,51.94,587871,17054.0,3088,35256,14,1071517.65,134.34,0.088,0.445,0.5992,10.934,3
服饰,晚场,测评型,36675.0,322654.0,41.06,435777,13214.0,3445,80260,15,1707606.41,129.65,0.1291,0.4707,0.5888,15.038,3
服饰,晚场,娱乐互动型,16571.0,71694.0,27.6,96231,1265.0,796,9326,9,169331.87,105.6,0.1893,0.633,0.2886,3.239,1
数码,午场,专业讲解型,9588.0,64022.0,12.0,83849,1613.0,351,14841,8,169159.11,69.21,0.1529,0.5694,0.3569,3.438,1
美妆,晚场,福利型,40376.0,164448.0,29.77,326783,3815.0,1856,16831,15,491348.56,86.49,0.1624,0.5722,0.3704,9.728,2
食品,深夜场,测评型,20440.0,97405.0,30.23,189804,5213.0,2407,35117,14,1216754.66,114.29,0.187,0.6063,0.3293,7.616,2
数码,晚场,娱乐互动型,12362.0,70846.0,27.35,132226,1956.0,427,15099,10,121059.41,70.36,0.2258,0.7223,0.3528,3.863,1
美妆,深夜场,娱乐互动型,3916.0,20946.0,16.08,39764,475.0,177,4276,5,51273.6,63.78,0.2322,0.6298,0.1521,0.58,0
服饰,深夜场,娱乐互动型,11972.0,93318.0,33.03,220274,5972.0,892,26545,13,551117.51,90.5,0.1579,0.3337,0.3603,7.673,2
数码,午场,福利型,5414.0,14780.0,16.86,29084,1090.0,127,4240,5,72274.61,57.24,0.2611,0.6371,0.0618,1.083,0
食品,早场,测评型,50035.0,205166.0,39.14,326611,9740.0,2941,109445,16,955118.14,152.67,0.1192,0.41,0.4261,12.168,3
美妆,深夜场,福利型,3785.0,17210.0,18.34,49674,670.0,187,2317,5,64277.4,69.85,0.245,0.8441,0.0587,1.538,0
