用户ID,流失概率,风险等级,建议策略
186,0.04130559189257705,极低风险,持续优化体验，避免过度打扰
133,0.040610090173056314,极低风险,持续优化体验，避免过度打扰
450,0.0372748654107411,极低风险,持续优化体验，避免过度打扰
726,0.036857013966306765,极低风险,持续优化体验，避免过度打扰
509,0.03635887711167323,极低风险,持续优化体验，避免过度打扰
337,0.03626400292481022,极低风险,持续优化体验，避免过度打扰
286,0.03594800315889674,极低风险,持续优化体验，避免过度打扰
250,0.03571049112254696,极低风险,持续优化体验，避免过度打扰
682,0.03287265038402125,极低风险,持续优化体验，避免过度打扰
129,0.03222688916032612,极低风险,持续优化体验，避免过度打扰
675,0.029507607187152583,极低风险,持续优化体验，避免过度打扰
477,0.029230375705542776,极低风险,持续优化体验，避免过度打扰
44,0.029113220900064084,极低风险,持续优化体验，避免过度打扰
125,0.029093769141595508,极低风险,持续优化体验，避免过度打扰
7,0.027707068750549315,极低风险,持续优化体验，避免过度打扰
360,0.027398746319721858,极低风险,持续优化体验，避免过度打扰
373,0.026147308472652037,极低风险,持续优化体验，避免过度打扰
324,0.02414758231403889,极低风险,持续优化体验，避免过度打扰
56,0.024072652576228527,极低风险,持续优化体验，避免过度打扰
378,0.02370948711481084,极低风险,持续优化体验，避免过度打扰
611,0.023008383144547378,极低风险,持续优化体验，避免过度打扰
657,0.020299351883078555,极低风险,持续优化体验，避免过度打扰
339,0.020098234848088658,极低风险,持续优化体验，避免过度打扰
2,0.01793070920058213,极低风险,持续优化体验，避免过度打扰
620,0.017398376853645887,极低风险,持续优化体验，避免过度打扰
774,0.01719591227144855,极低风险,持续优化体验，避免过度打扰
18,0.01612395592963621,极低风险,持续优化体验，避免过度打扰
459,0.01553818636527714,极低风险,持续优化体验，避免过度打扰
564,0.015401757669797258,极低风险,持续优化体验，避免过度打扰
673,0.014721158920286033,极低风险,持续优化体验，避免过度打扰
394,0.014687627924719953,极低风险,持续优化体验，避免过度打扰
506,0.014046754298355345,极低风险,持续优化体验，避免过度打扰
722,0.01196769973936765,极低风险,持续优化体验，避免过度打扰
606,0.01174338251317939,极低风险,持续优化体验，避免过度打扰
310,0.011554795727030604,极低风险,持续优化体验，避免过度打扰
668,0.011263218371925439,极低风险,持续优化体验，避免过度打扰
344,0.011217316464638796,极低风险,持续优化体验，避免过度打扰
85,0.011205858067887741,极低风险,持续优化体验，避免过度打扰
746,0.011143535258466402,极低风险,持续优化体验，避免过度打扰
372,0.010979283490529167,极低风险,持续优化体验，避免过度打扰
476,0.010750165604815244,极低风险,持续优化体验，避免过度打扰
455,0.010221345130208484,极低风险,持续优化体验，避免过度打扰
107,0.010123570490473046,极低风险,持续优化体验，避免过度打扰
505,0.009959337290910383,极低风险,持续优化体验，避免过度打扰
68,0.009899689803246235,极低风险,持续优化体验，避免过度打扰
17,0.009657638069416183,极低风险,持续优化体验，避免过度打扰
222,0.009626493500314998,极低风险,持续优化体验，避免过度打扰
87,0.009161025854679416,极低风险,持续优化体验，避免过度打扰
551,0.00883200025851536,极低风险,持续优化体验，避免过度打扰
545,0.00871537450048489,极低风险,持续优化体验，避免过度打扰
121,0.008521122676301519,极低风险,持续优化体验，避免过度打扰
317,0.007989606519202894,极低风险,持续优化体验，避免过度打扰
218,0.007742748321882997,极低风险,持续优化体验，避免过度打扰
389,0.007530151842948536,极低风险,持续优化体验，避免过度打扰
113,0.006951818306285776,极低风险,持续优化体验，避免过度打扰
83,0.006138413994763053,极低风险,持续优化体验，避免过度打扰
278,0.005786422086363215,极低风险,持续优化体验，避免过度打扰
47,0.005457819044783742,极低风险,持续优化体验，避免过度打扰
159,0.0054250492544741956,极低风险,持续优化体验，避免过度打扰
357,0.003911648791482762,极低风险,持续优化体验，避免过度打扰
305,0.002967411971124389,极低风险,持续优化体验，避免过度打扰
438,0.0029546344913218745,极低风险,持续优化体验，避免过度打扰
346,0.0028687789592212833,极低风险,持续优化体验，避免过度打扰
706,0.0027285141162218473,极低风险,持续优化体验，避免过度打扰
327,0.0026999945915651183,极低风险,持续优化体验，避免过度打扰
624,0.0024147660254199223,极低风险,持续优化体验，避免过度打扰
221,0.0023134812707733825,极低风险,持续优化体验，避免过度打扰
342,0.001963627258371622,极低风险,持续优化体验，避免过度打扰
499,0.001944442278820356,极低风险,持续优化体验，避免过度打扰
777,0.0019324690751151509,极低风险,持续优化体验，避免过度打扰
290,0.0016073467535779437,极低风险,持续优化体验，避免过度打扰
40,0.0012381267910761232,极低风险,持续优化体验，避免过度打扰
574,0.0009399797941297963,极低风险,持续优化体验，避免过度打扰
602,0.0008432328895737106,极低风险,持续优化体验，避免过度打扰
57,0.0005376305397328016,极低风险,持续优化体验，避免过度打扰
498,0.0004184035331686037,极低风险,持续优化体验，避免过度打扰
276,0.000416787377318197,极低风险,持续优化体验，避免过度打扰
522,0.0003062835501276001,极低风险,持续优化体验，避免过度打扰
