近30天访客数,点击率,30天销量,动销率,毛利率,客单价,库存周转天数,现货库存,投放ROI,标签
307,0.0526,129,0.7512,0.4488,111.49,16,57,4.6,1
970,0.0901,248,0.7519,0.1177,67.03,23,82,3.15,0
39,0.0081,3,0.0981,0.0799,38.15,70,485,0.6,3
39,0.0188,3,0.1117,0.147,51.94,63,153,0.2,3
386,0.0466,66,0.7509,0.5478,155.5,19,133,4.98,1
1906,0.0953,306,0.724,0.1706,51.59,17,159,1.8,0
1336,0.064,467,0.7699,0.115,54.41,24,179,2.49,0
1391,0.1359,235,0.8913,0.1579,63.41,21,209,1.62,0
497,0.0535,103,0.7533,0.4465,176.76,28,135,3.76,1
31,0.022,5,0.0643,0.1747,46.47,70,186,0.3,3
54,0.0086,6,0.0641,0.0979,21.14,74,474,0.32,3
256,0.0403,109,0.5834,0.4906,163.28,29,148,4.05,1
593,0.0761,126,0.7162,0.5426,178.1,24,136,2.79,1
171,0.0366,16,0.2635,0.7925,496.04,38,21,1.23,2
145,0.0237,13,0.1102,0.7443,372.32,56,49,0.96,2
26,0.0209,4,0.031,0.1889,60.0,60,473,0.51,3
921,0.0644,280,0.7328,0.161,65.56,19,211,3.23,0
109,0.0215,25,0.1586,0.7055,464.43,46,10,1.01,2
129,0.032,5,0.3239,0.7179,309.31,45,44,0.85,2
73,0.0168,2,0.0716,0.1187,64.23,84,215,0.14,3
379,0.0723,121,0.7996,0.4093,140.69,25,63,3.94,1
69,0.0169,7,0.071,0.2788,44.75,63,197,0.28,3
1571,0.0616,220,0.836,0.1561,47.06,16,151,3.42,0
45,0.0107,5,0.1366,0.1088,36.17,85,468,0.36,3
82,0.0396,19,0.1748,0.6103,330.52,39,16,1.37,2
933,0.1313,346,0.9351,0.1326,53.71,24,249,2.85,0
57,0.0208,9,0.0441,0.1905,24.99,67,378,0.58,3
573,0.0414,93,0.7879,0.3706,104.01,16,74,2.66,1
305,0.0525,101,0.5153,0.3723,138.35,30,56,4.25,1
2949,0.0955,255,0.825,0.0802,35.5,16,226,1.5,0
309,0.0533,98,0.6294,0.5061,184.02,25,76,3.31,1
2811,0.1215,317,0.7685,0.1197,76.42,17,88,2.42,0
78,0.0214,8,0.1346,0.7797,252.21,58,17,0.53,2
2353,0.0817,367,0.8708,0.1508,72.37,17,80,3.21,0
118,0.0432,9,0.3139,0.6136,479.6,48,28,1.1,2
15,0.0213,3,0.0614,0.2498,49.94,61,225,0.31,3
529,0.0412,57,0.6039,0.3538,116.45,28,122,4.27,1
173,0.0467,12,0.2485,0.5815,285.83,51,37,0.67,2
248,0.0402,149,0.505,0.5486,158.36,22,62,4.74,1
39,0.0174,5,0.0555,0.0626,49.63,55,253,0.43,3
23,0.0169,0,0.0501,0.2685,32.58,74,363,0.38,3
500,0.069,117,0.6701,0.5017,198.24,17,91,3.79,1
877,0.1068,428,0.8224,0.0913,74.38,19,147,2.87,0
1591,0.0761,486,0.7599,0.1831,75.53,13,116,2.44,0
146,0.0314,26,0.2293,0.7354,432.68,48,41,1.07,2
2513,0.1379,466,0.9394,0.092,40.12,16,206,1.55,0
79,0.0194,3,0.1354,0.1487,35.86,63,363,0.39,3
204,0.0774,110,0.6403,0.3893,137.62,22,89,2.83,1
1477,0.0906,389,0.9865,0.1092,34.85,17,208,3.26,0
1851,0.0767,220,0.8566,0.1362,42.87,11,87,2.46,0
27,0.0149,6,0.0344,0.1131,34.64,62,417,0.54,3
17,0.0246,9,0.1439,0.068,26.79,87,256,0.38,3
2596,0.1155,446,0.8627,0.0998,42.56,16,107,3.2,0
409,0.0518,123,0.6114,0.431,175.9,15,127,3.02,1
38,0.0229,1,0.0331,0.1161,62.22,74,212,0.31,3
274,0.0684,74,0.7554,0.5249,133.83,25,103,3.12,1
1451,0.1446,206,0.9664,0.1733,55.78,14,163,2.56,0
530,0.0453,93,0.5377,0.5404,148.1,31,145,2.91,1
583,0.0501,70,0.509,0.3738,191.58,15,82,4.02,1
588,0.0613,90,0.5562,0.5477,181.73,31,124,3.67,1
2623,0.0907,472,0.715,0.1211,69.62,19,185,3.0,0
67,0.0235,2,0.0769,0.2098,20.02,72,497,0.24,3
1674,0.0716,310,0.7457,0.1559,49.55,12,236,2.14,0
157,0.0398,16,0.2499,0.6682,487.42,48,23,0.68,2
197,0.0212,26,0.2124,0.7731,437.3,41,49,1.03,2
75,0.0484,12,0.1916,0.7346,350.69,57,32,1.22,2
490,0.0568,140,0.6941,0.4185,140.72,24,94,2.81,1
1514,0.119,383,0.8989,0.0824,46.23,22,113,3.06,0
62,0.0184,2,0.0368,0.1188,26.83,61,249,0.44,3
61,0.0158,2,0.1112,0.2882,50.4,79,239,0.41,3
487,0.056,147,0.7056,0.3546,139.91,29,137,4.03,1
270,0.0742,143,0.5967,0.4589,148.88,23,113,3.34,1
1686,0.1431,469,0.953,0.1974,67.15,24,209,3.03,0
450,0.0496,95,0.6934,0.4079,125.68,24,108,3.52,1
2246,0.1375,435,0.7503,0.0809,46.71,16,215,3.18,0
2339,0.0704,421,0.817,0.1998,39.53,24,106,2.35,0
181,0.0494,28,0.1174,0.5845,447.58,41,20,1.38,2
117,0.045,7,0.1441,0.6559,387.95,41,30,1.19,2
50,0.05,29,0.2291,0.5738,431.86,37,49,0.82,2
271,0.0421,92,0.7017,0.4207,178.65,28,133,4.55,1
357,0.07,82,0.7404,0.4483,189.2,20,64,4.7,1
1516,0.108,203,0.7203,0.0863,29.93,11,154,3.05,0
1543,0.1341,378,0.7504,0.0976,72.94,14,219,2.58,0
13,0.0129,0,0.1159,0.1144,57.52,58,326,0.48,3
323,0.0488,86,0.5625,0.5003,111.79,30,58,2.94,1
896,0.0959,438,0.9971,0.0965,62.58,12,156,2.29,0
76,0.0225,9,0.045,0.1052,52.7,87,251,0.47,3
498,0.0731,105,0.7132,0.3553,104.85,33,110,3.72,1
1434,0.1282,296,0.948,0.1473,49.17,21,126,2.54,0
380,0.0671,106,0.5198,0.3502,121.13,26,139,4.12,1
2647,0.1023,461,0.8428,0.1923,32.87,15,116,2.67,0
1462,0.0793,387,0.7297,0.1048,51.04,17,109,1.77,0
22,0.0122,3,0.0272,0.1393,33.14,87,363,0.2,3
12,0.007,9,0.034,0.0788,50.88,66,192,0.53,3
17,0.0155,8,0.1496,0.061,39.96,52,263,0.57,3
566,0.0468,130,0.7936,0.4497,149.27,20,147,3.45,1
517,0.0451,108,0.5963,0.3886,110.23,30,136,3.97,1
466,0.0573,90,0.6899,0.5354,193.18,29,89,3.32,1
587,0.0585,106,0.6976,0.4609,131.97,34,84,3.45,1
1472,0.1251,208,0.8167,0.1057,58.03,21,208,2.01,0
77,0.0169,9,0.107,0.0631,67.18,83,287,0.56,3
591,0.0415,50,0.7041,0.4625,102.55,21,124,4.63,1
281,0.0402,96,0.736,0.4161,187.78,34,87,3.91,1
2278,0.1297,206,0.849,0.1444,78.17,11,243,3.21,0
2848,0.139,357,0.8123,0.0921,70.45,17,161,2.63,0
61,0.0135,6,0.0681,0.1544,25.82,85,428,0.52,3
2353,0.1387,256,0.7072,0.1425,53.08,16,197,1.83,0
67,0.0386,14,0.11,0.6654,380.46,58,18,0.64,2
1882,0.0687,270,0.9842,0.1286,70.35,16,245,1.66,0
198,0.039,26,0.2073,0.6578,258.87,40,31,1.49,2
56,0.0191,0,0.0592,0.2757,22.16,62,477,0.52,3
1421,0.1351,170,0.7467,0.1442,75.69,23,176,2.29,0
595,0.0788,56,0.5932,0.3879,128.5,18,146,2.74,1
18,0.0216,7,0.1469,0.2605,67.07,75,194,0.5,3
355,0.076,104,0.7915,0.491,148.19,24,95,3.47,1
277,0.0436,89,0.5232,0.506,144.51,18,143,4.03,1
1493,0.0785,205,0.9927,0.1062,55.69,19,239,3.45,0
2038,0.0738,167,0.719,0.1034,58.33,15,235,2.57,0
169,0.044,10,0.2544,0.766,487.11,38,23,0.59,2
1695,0.1451,303,0.8135,0.1725,56.92,16,111,2.14,0
76,0.033,21,0.1572,0.7305,292.12,52,47,0.69,2
2095,0.1068,324,0.8525,0.1324,79.64,11,162,2.46,0
589,0.0637,56,0.5684,0.4775,104.98,26,148,3.67,1
29,0.0062,4,0.1269,0.212,58.99,86,299,0.42,3
63,0.012,6,0.1061,0.218,67.93,78,279,0.31,3
35,0.0197,5,0.0798,0.1039,57.16,63,195,0.2,3
67,0.0468,23,0.1681,0.5777,488.91,55,16,0.7,2
1521,0.1395,335,0.9282,0.165,38.66,21,140,2.46,0
1655,0.0877,245,0.7382,0.146,65.15,12,91,2.46,0
50,0.0213,7,0.0783,0.2551,31.94,63,276,0.19,3
337,0.0496,89,0.7255,0.4128,127.18,22,63,3.6,1
544,0.0494,86,0.7289,0.536,149.69,27,114,4.67,1
43,0.0228,6,0.1381,0.2479,42.95,80,178,0.11,3
387,0.0563,99,0.6705,0.4604,183.56,34,60,3.06,1
14,0.0249,8,0.1335,0.2725,35.62,55,290,0.23,3
144,0.0303,28,0.2393,0.6241,292.35,40,17,0.56,2
63,0.0217,4,0.1086,0.098,28.67,59,434,0.23,3
