最近一次消费天数,月消费频率,平均单次消费金额,单次平均到店时长,是否参与团课,会员等级,标签
19,3,110.67,33.26,,白银,1
4,8,179.35,49.92,是,黄金,0
62,1,84.49,36.38,否,普通,2
3,8,138.57,72.75,是,黄金,0
7,6,158.99,81.37,是,铂金,0
30,5,103.06,29.79,是,普通,1
31,2,169.38,44.53,否,普通,1
9,8,247.68,70.97,否,黄金,0
14,5,190.36,73.13,是,铂金,0
58,1,76.54,28.12,否,普通,2
10,9,242.35,61.87,是,白银,0
34,2,73.47,42.0,否,白银,1
15,2,84.15,43.08,否,白银,1
31,2,129.28,38.96,否,普通,1
85,2,71.75,16.7,否,白银,2
17,5,,,否,普通,1
28,3,113.15,51.08,否,白银,1
89,1,77.78,20.77,否,普通,2
13,6,156.12,69.42,是,黄金,0
1,5,167.99,75.49,,黄金,0
5,8,195.38,68.7,否,黄金,0
89,1,79.88,34.71,否,白银,2
31,3,173.88,51.72,是,普通,1
24,3,121.59,54.52,否,黄金,1
7,7,,,是,黄金,0
24,5,,,是,普通,1
5,9,129.32,53.11,否,白银,0
24,4,93.47,38.46,是,普通,1
27,3,85.04,50.63,是,普通,1
9,10,180.43,81.17,否,黄金,0
8,10,177.48,82.04,是,铂金,0
9,10,144.68,51.0,是,白银,0
18,3,116.67,56.26,否,普通,1
29,4,126.28,40.46,否,白银,1
10,6,158.22,65.73,是,铂金,0
78,0,84.21,35.04,否,普通,2
8,8,187.92,80.17,是,黄金,0
1,9,232.34,74.06,是,铂金,0
23,4,119.01,51.82,否,白银,1
26,4,,,否,普通,1
71,2,65.99,22.86,否,普通,2
13,8,189.83,62.53,是,黄金,0
89,1,59.37,23.77,,普通,2
13,12,208.45,77.56,是,黄金,0
4,7,,,是,黄金,0
24,5,122.06,55.65,否,,1
70,1,60.21,35.53,否,普通,2
75,1,105.3,32.47,否,普通,2
27,5,181.14,46.29,是,黄金,1
14,9,161.3,52.06,,黄金,0
19,4,151.39,36.05,是,普通,1
7,9,212.35,79.75,是,黄金,0
22,5,97.88,47.87,否,白银,1
79,0,95.18,30.25,否,白银,2
4,7,163.48,72.61,,黄金,0
84,0,85.53,22.79,否,白银,2
48,1,70.38,10.0,否,普通,2
29,5,179.36,55.15,否,普通,1
34,2,81.11,17.15,否,,1
67,2,129.3,25.6,否,普通,2
30,2,142.69,45.36,否,白银,1
38,1,95.04,35.82,否,普通,2
3,11,176.25,64.17,是,铂金,0
27,4,148.73,37.97,是,普通,1
21,3,150.58,38.17,否,白银,1
27,2,189.02,42.84,否,普通,1
20,3,97.73,21.75,否,普通,1
43,0,100.1,25.98,否,普通,2
3,5,245.3,75.69,是,黄金,0
23,2,118.21,34.76,否,白银,1
23,4,133.59,55.84,否,普通,1
46,2,58.15,25.47,否,白银,2
29,5,144.1,54.74,否,白银,1
33,4,141.67,49.71,否,普通,1
28,5,129.29,43.82,是,普通,1
33,3,98.11,31.17,,白银,1
74,0,57.98,22.31,,普通,2
61,0,,,否,普通,2
32,4,117.77,45.3,是,普通,1
22,4,133.99,55.81,否,白银,1
24,5,140.46,46.34,是,白银,1
12,10,159.67,63.7,是,黄金,0
31,2,162.18,53.82,否,白银,1
22,2,117.74,52.81,,黄金,1
32,2,153.87,55.29,是,白银,1
20,4,134.16,53.32,否,白银,1
49,2,69.15,35.02,否,白银,2
60,0,52.21,14.84,否,普通,2
17,2,132.2,60.8,否,普通,1
15,12,117.28,64.64,是,铂金,0
5,8,178.41,72.6,否,铂金,0
9,11,,,否,黄金,0
89,1,80.98,28.32,否,普通,2
32,2,106.74,37.07,是,普通,1
60,1,92.64,20.17,否,,2
35,3,134.83,41.9,是,普通,1
36,2,50.01,17.36,否,普通,2
59,1,81.36,31.2,否,普通,2
67,1,100.46,28.73,是,白银,2
8,8,235.51,55.15,是,铂金,0
22,4,130.24,51.38,否,黄金,1
13,9,170.64,68.75,否,白银,0
68,0,87.08,25.7,否,普通,2
35,4,154.18,54.58,否,白银,1
1,5,200.37,80.65,是,铂金,0
12,9,189.1,79.38,是,黄金,0
7,8,172.5,61.73,是,白银,0
24,2,167.05,58.45,否,白银,1
78,0,81.5,37.82,否,普通,2
75,2,75.12,35.71,否,普通,2
16,4,132.33,46.85,否,普通,1
2,6,246.13,61.89,是,黄金,0
15,5,191.99,92.94,是,白银,0
46,2,102.73,24.34,否,普通,2
57,1,102.16,19.68,否,普通,2
7,10,210.75,67.12,是,铂金,0
10,12,216.14,48.28,是,白银,0
54,1,94.65,27.35,否,普通,2
20,2,113.25,35.21,否,普通,1
1,7,182.11,99.56,是,黄金,0
37,2,58.7,25.56,否,普通,2
26,5,,,否,白银,1
76,2,61.43,32.75,否,白银,2
7,8,141.08,73.83,是,,0
41,1,68.42,28.51,否,白银,2
59,1,68.64,31.46,否,普通,2
28,3,125.08,45.5,否,白银,1
37,0,81.18,37.01,否,普通,2
40,1,94.43,33.08,否,白银,2
18,4,135.19,29.81,是,白银,1
8,12,179.94,64.89,是,白银,0
3,8,188.77,74.16,是,黄金,0
10,6,66.56,57.71,是,黄金,0
22,2,93.49,33.82,否,,1
48,1,86.48,25.67,,普通,2
65,1,88.37,31.2,否,普通,2
46,0,94.14,35.76,否,白银,2
10,5,192.03,48.84,是,白银,0
36,2,75.73,39.93,是,白银,2
90,0,48.14,31.52,否,普通,2
1,5,159.89,64.94,是,白银,0
72,2,95.72,31.4,否,普通,2
12,8,155.38,44.32,是,黄金,0
15,3,114.66,46.39,否,黄金,1
9,5,194.98,40.36,否,铂金,0
58,0,73.84,29.75,否,普通,2
26,5,124.16,35.24,否,白银,1
68,1,,,是,白银,2
73,0,83.11,47.73,否,普通,2
18,3,100.66,32.55,是,黄金,1
7,6,234.01,85.88,是,黄金,0
15,3,136.47,35.91,否,白银,1
23,2,107.81,40.67,是,白银,1
76,1,65.94,31.47,,白银,2
4,6,135.72,83.1,是,铂金,0
9,12,,,是,黄金,0
87,1,99.42,23.06,否,普通,2
8,12,172.91,70.73,是,白银,0
13,10,172.18,78.57,是,白银,0
42,1,58.09,33.86,否,普通,2
22,3,140.31,26.19,否,白银,1
7,7,,,是,黄金,0
27,4,76.76,57.42,否,白银,1
47,0,93.34,15.6,否,普通,2
37,1,112.76,40.01,否,普通,2
20,4,111.43,41.29,否,黄金,1
9,10,166.16,66.53,是,白银,0
49,2,93.6,32.6,否,白银,2
31,3,124.45,45.36,否,黄金,1
6,11,210.02,68.08,是,黄金,0
90,2,68.27,43.29,否,普通,2
53,0,43.06,23.47,否,普通,2
1,8,153.71,56.43,是,铂金,0
50,1,119.02,23.28,是,普通,2
49,0,94.25,28.96,否,普通,2
83,2,112.84,36.08,否,普通,2
15,4,130.14,52.15,否,白银,1
2,5,173.78,65.08,是,铂金,0
14,12,202.23,57.04,是,黄金,0
9,10,189.05,84.79,是,黄金,0
49,0,,,否,普通,2
76,1,66.97,24.13,否,普通,2
83,2,78.39,36.75,否,普通,2
85,2,76.66,29.17,否,普通,2
19,3,104.32,57.52,否,普通,1
3,8,181.47,68.35,是,白银,0
82,0,88.89,20.04,否,普通,2
23,2,146.77,39.17,是,普通,1
34,2,149.18,61.21,,普通,1
56,2,74.73,24.77,否,,2
42,0,102.11,37.5,否,普通,2
6,9,119.63,63.25,是,黄金,0
29,2,178.55,33.98,否,白银,1
15,10,110.3,75.11,否,黄金,0
22,3,128.46,40.85,否,白银,1
8,9,235.27,79.21,是,白银,0
29,2,128.17,42.81,否,白银,1
24,5,131.52,50.86,是,普通,1
7,9,156.66,49.7,是,铂金,0
9,9,156.75,86.32,是,铂金,0
66,1,104.18,16.47,否,普通,2
10,12,227.74,100.47,,,0
3,9,175.7,77.79,是,白银,0
14,9,185.24,71.69,是,黄金,0
42,2,54.07,15.9,否,普通,2
5,6,150.63,66.29,否,铂金,0
8,10,256.64,60.3,是,黄金,0
26,4,97.53,35.9,否,普通,1
68,0,77.84,27.45,否,普通,2
21,4,107.82,49.04,是,普通,1
43,0,63.04,15.19,否,普通,2
40,2,73.46,23.59,,普通,2
12,9,222.36,68.19,是,黄金,0
12,6,160.54,68.47,否,黄金,0
17,3,135.81,54.73,是,白银,1
25,3,91.93,48.82,否,普通,1
38,2,65.34,22.05,否,普通,2
19,2,131.5,42.5,是,普通,1
33,3,140.61,43.75,否,白银,1
1,12,254.71,72.72,是,铂金,0
10,6,210.9,64.61,是,铂金,0
69,1,89.88,30.09,否,普通,2
87,0,42.98,35.55,否,普通,2
10,11,169.17,78.08,是,黄金,0
25,3,108.54,55.89,是,白银,1
73,0,91.38,41.03,否,普通,2
16,2,104.42,39.45,否,普通,1
41,2,62.3,40.42,否,普通,2
31,4,119.07,49.29,否,黄金,1
22,4,133.81,47.96,否,白银,1
33,3,105.66,39.53,是,白银,1
2,8,160.29,100.47,是,铂金,0
15,11,,,否,白银,0
78,2,86.85,31.65,否,白银,2
27,5,97.26,51.39,否,白银,1
70,1,59.12,26.33,否,普通,2
5,10,128.12,67.25,是,白银,0
18,5,134.08,29.67,否,黄金,1
14,12,172.38,83.19,是,铂金,0
18,5,101.19,61.74,否,白银,1
44,1,94.79,25.97,否,普通,2
29,5,,,否,白银,1
