最近一次消费天数,月消费频率,平均单次消费金额,单次平均到店时长,是否参与团课,会员等级,标签
8.0,6.0,182.07,75.62,是,黄金,0
76.0,2.0,102.09,26.97,否,普通,2
74.0,1.0,116.3,28.9,否,普通,2
33.0,4.0,130.59,44.29,是,普通,1
21.0,1.0,118.51,53.04,否,白银,1
13.0,7.0,203.27,62.49,否,黄金,0
44.0,0.0,84.52,26.63,否,普通,2
75.0,0.0,102.32,10.0,否,普通,2
5.0,10.0,191.37,87.81,是,钻石,0
8.0,8.0,159.96,84.79,是,白银,0
53.0,0.0,109.48,36.99,否,普通,2
6.0,12.0,176.28,55.67,否,钻石,0
47.0,2.0,138.9,16.23,否,普通,2
5.0,7.0,173.34,67.69,是,白银,0
66.0,0.0,88.79,19.28,否,白银,2
10.0,11.0,126.56,66.56,否,黄金,0
1.0,8.0,244.28,61.2,否,黄金,0
9.0,11.0,161.86,71.66,是,黄金,0
66.0,0.0,84.47,24.04,否,普通,2
35.0,2.0,114.53,45.79,否,白银,2
5.0,8.0,178.42,78.98,是,黄金,0
72.0,2.0,74.11,43.04,否,普通,2
44.0,1.0,85.19,31.02,否,普通,2
5.0,9.0,130.34,76.75,是,黄金,0
40.0,0.0,84.6,47.71,否,普通,2
49.0,2.0,84.74,23.14,是,普通,2
67.0,0.0,90.74,29.11,否,普通,2
25.0,1.0,96.42,45.17,是,普通,1
,,,,,,0
44.0,1.0,92.21,30.01,否,白银,2
9.0,6.0,149.1,66.18,是,钻石,0
24.0,4.0,155.04,40.06,是,白银,1
30.0,2.0,85.05,43.98,否,白银,1
33.0,2.0,120.44,29.15,否,白银,1
6.0,5.0,118.71,65.26,是,黄金,0
,,,,,,2
26.0,1.0,86.84,62.82,是,普通,1
28.0,1.0,107.44,37.19,是,普通,1
8.0,7.0,168.93,83.3,是,白银,0
73.0,0.0,62.44,11.89,否,普通,2
87.0,2.0,115.81,34.11,否,普通,2
16.0,2.0,95.58,51.71,否,普通,1
52.0,1.0,91.73,33.27,否,普通,2
4.0,6.0,206.56,89.15,是,黄金,0
25.0,2.0,111.7,40.05,否,普通,1
4.0,8.0,205.5,58.05,是,钻石,0
14.0,7.0,158.84,96.09,是,钻石,0
36.0,1.0,98.82,44.41,是,白银,1
44.0,1.0,101.87,45.37,否,普通,2
85.0,1.0,90.47,24.0,否,普通,2
5.0,10.0,94.88,39.79,是,黄金,0
86.0,0.0,89.54,50.04,否,普通,2
7.0,11.0,96.12,73.86,否,白银,0
81.0,0.0,70.69,30.53,否,普通,2
62.0,1.0,84.98,10.0,否,普通,2
18.0,2.0,80.5,54.65,否,普通,1
11.0,11.0,153.91,75.64,是,钻石,0
9.0,10.0,159.33,46.56,是,钻石,0
,,,,,,1
45.0,1.0,98.24,48.59,是,普通,2
83.0,1.0,74.04,34.28,是,普通,2
61.0,2.0,96.54,22.68,否,白银,2
5.0,12.0,121.24,75.29,否,黄金,0
16.0,4.0,99.74,41.95,否,普通,1
50.0,0.0,82.41,33.77,否,普通,2
,,,,,,2
13.0,11.0,176.68,72.66,否,白银,0
77.0,1.0,83.65,28.35,否,普通,2
11.0,5.0,170.09,56.26,否,钻石,0
5.0,6.0,103.86,97.93,是,钻石,0
82.0,2.0,113.65,26.76,否,普通,2
3.0,9.0,167.68,79.78,是,黄金,0
82.0,1.0,58.64,42.61,否,普通,2
6.0,8.0,189.13,70.42,否,钻石,0
9.0,7.0,165.44,56.33,是,黄金,0
84.0,0.0,84.58,20.71,是,普通,2
15.0,3.0,99.0,10.0,否,普通,1
39.0,1.0,75.23,62.26,否,普通,1
35.0,1.0,83.87,24.07,是,白银,2
33.0,4.0,146.68,43.63,否,白银,1
7.0,10.0,188.89,59.13,是,黄金,0
55.0,1.0,64.27,16.4,否,普通,2
6.0,6.0,159.6,36.09,否,黄金,0
2.0,12.0,148.28,95.59,是,钻石,0
75.0,2.0,105.55,21.91,否,普通,2
6.0,7.0,141.51,69.66,是,钻石,0
6.0,8.0,169.68,52.75,否,黄金,0
50.0,0.0,116.5,33.3,否,普通,2
13.0,11.0,219.93,71.99,是,黄金,0
13.0,7.0,109.53,73.15,否,钻石,0
15.0,4.0,78.3,12.0,否,黄金,1
54.0,1.0,113.97,28.3,否,普通,2
26.0,3.0,134.54,31.02,是,普通,1
38.0,2.0,71.39,45.16,否,普通,2
33.0,2.0,144.1,42.16,是,白银,1
4.0,6.0,112.99,59.13,否,黄金,0
35.0,2.0,75.43,37.72,否,普通,2
77.0,0.0,73.67,18.53,否,普通,2
,,,,,,2
66.0,1.0,60.93,17.38,是,普通,2
83.0,0.0,113.79,28.47,否,普通,2
23.0,3.0,51.39,56.31,是,普通,1
33.0,4.0,105.65,36.25,否,普通,1
21.0,4.0,149.44,32.19,否,普通,1
18.0,1.0,102.19,61.3,是,白银,1
64.0,2.0,95.76,27.48,否,普通,2
63.0,1.0,148.28,12.23,否,普通,2
12.0,10.0,182.86,87.63,否,白银,0
38.0,0.0,97.5,40.78,否,普通,2
68.0,0.0,95.66,40.85,否,普通,2
45.0,1.0,60.58,35.03,否,普通,2
14.0,6.0,161.6,68.21,是,黄金,0
87.0,2.0,115.46,35.36,否,普通,2
5.0,11.0,107.21,81.28,否,白银,0
23.0,3.0,154.96,59.3,是,普通,1
40.0,0.0,76.03,29.11,否,白银,2
4.0,11.0,111.55,84.83,是,白银,0
7.0,6.0,129.24,61.93,是,黄金,0
12.0,11.0,167.44,67.88,否,黄金,0
64.0,0.0,62.36,24.68,否,普通,2
78.0,0.0,55.25,32.04,否,普通,2
24.0,3.0,115.92,67.83,否,白银,1
1.0,12.0,142.57,35.86,是,黄金,0
44.0,2.0,78.33,24.72,否,普通,2
3.0,5.0,140.12,98.84,是,黄金,0
75.0,1.0,91.47,30.38,否,普通,2
38.0,3.0,97.09,55.98,否,普通,1
77.0,0.0,82.23,44.77,否,普通,2
70.0,2.0,78.46,33.14,否,普通,2
70.0,2.0,76.87,24.34,否,普通,2
26.0,3.0,84.23,45.85,否,白银,1
68.0,0.0,68.96,28.56,是,普通,2
