用户ID,注册时长,最近活跃天数,活跃频率,访问时长,使用功能数,累计消费金额,最近消费金额,消费频率,客单价,评论数,分享数,点赞数,反馈次数,客服咨询次数,投诉次数,评分均值,是否流失
44,359,9.94,7.79,12.57,8.06,0.0,0.0,1.98,0.0,8,3,36,1,2.0,0,4.36,0
45,74,19.5,2.62,22.09,5.71,65.17,3.67,3.38,2.88,2,1,16,2,0.0,0,4.06,0
46,970,25.89,8.81,21.71,6.91,0.0,0.0,3.18,0.0,10,4,45,1,1.0,0,4.33,0
47,449,12.56,13.23,14.96,6.64,355.55,16.93,2.03,28.35,11,2,72,1,2.0,0,4.78,0
48,893,14.79,6.75,8.57,6.45,477.67,87.12,1.27,43.39,10,2,35,0,1.0,1,3.75,0
49,680,13.41,7.32,22.95,5.9,4515.68,217.68,0.9,800.0,15,2,38,2,2.0,0,3.09,0
50,779,11.96,4.52,13.13,4.73,0.0,0.0,1.27,0.0,5,2,30,0,0.0,1,4.18,0
51,761,6.37,1.09,14.26,9.03,58.65,10.11,2.2,3.98,2,2,8,1,0.0,0,3.66,0
52,200,5.93,4.23,11.46,3.39,0.0,0.0,0.71,0.0,5,2,25,0,1.0,1,4.31,0
53,368,19.42,2.96,8.16,5.21,248.75,13.02,2.43,10.39,8,0,23,2,4.0,0,4.25,1
54,470,26.23,2.04,4.69,5.23,340.93,58.44,3.95,28.43,3,2,14,3,0.0,0,4.77,0
55,501,9.93,10.28,17.3,6.0,132.46,2.51,1.53,10.77,8,6,47,1,3.0,0,3.73,0
56,50,9.74,6.51,8.8,4.34,945.51,39.68,0.12,0.0,11,2,30,1,0.0,0,3.96,0
57,549,1.83,6.79,31.86,5.83,0.0,0.0,0.12,0.0,7,7,47,0,0.0,0,4.06,0
58,160,1.43,5.0,6.98,4.86,831.58,170.17,2.45,59.75,11,0,30,1,0.0,0,3.43,0
59,745,30.9,5.35,5.96,2.04,441.25,54.54,1.53,90.13,3,7,21,0,0.0,0,4.86,1
60,685,6.75,8.31,16.56,5.22,148.6,12.67,2.56,18.17,13,10,44,1,1.0,0,3.36,0
61,923,53.63,5.72,22.68,3.0,44.44,9.56,1.01,6.38,8,5,28,2,3.0,0,4.85,1
62,746,7.83,7.18,13.89,1.73,4317.26,440.43,2.51,173.36,7,5,37,3,0.0,1,4.13,0
63,371,2.66,5.29,16.93,5.47,0.0,0.0,1.43,0.0,8,3,30,1,1.0,0,4.14,0
64,967,13.49,4.91,2.44,6.18,293.45,26.58,0.79,68.92,6,4,22,0,1.0,0,4.44,0
65,414,21.83,2.14,9.43,6.25,0.0,0.0,1.16,0.0,2,2,10,1,0.0,0,4.42,0
66,330,20.15,0.66,7.06,6.33,2155.76,,0.28,800.0,3,3,6,0,0.0,0,4.03,0
67,906,23.36,5.12,2.13,1.33,729.29,110.36,3.79,28.93,6,3,24,2,1.0,1,4.06,1
68,374,5.26,5.95,14.2,2.48,0.0,0.0,1.49,0.0,12,3,35,0,1.0,0,4.65,0
69,82,30.41,,1.0,9.15,423.57,63.54,2.31,38.56,6,3,15,0,0.0,0,,1
70,473,31.61,5.71,5.57,3.11,272.01,12.04,1.01,36.99,6,4,27,0,0.0,0,4.44,1
71,797,32.54,5.94,10.28,6.42,0.0,0.0,0.44,0.0,5,3,29,2,4.0,0,2.81,1
72,195,15.17,0.19,8.51,3.83,611.06,19.7,1.34,151.36,2,1,2,1,1.0,0,3.19,1
73,466,9.31,3.42,15.88,5.36,345.44,42.01,2.81,26.7,0,3,24,1,2.0,0,4.56,0
74,136,8.64,6.86,15.33,3.93,250.55,40.2,1.03,54.57,9,2,39,1,2.0,0,4.02,0
75,688,2.64,6.81,18.86,6.32,136.87,10.68,0.64,55.09,6,1,42,1,0.0,0,3.78,0
76,479,7.98,2.8,18.01,5.47,370.83,13.33,1.77,50.3,4,2,28,1,1.0,0,4.22,0
77,334,0.7,6.21,20.34,4.3,257.44,12.83,2.15,16.23,9,7,35,1,4.0,1,3.68,1
78,232,2.25,8.46,13.49,3.1,177.99,32.04,3.41,14.05,9,7,35,3,1.0,0,3.71,0
79,567,15.05,7.82,15.32,5.74,0.0,0.0,1.99,0.0,7,2,46,0,0.0,1,3.0,0
80,672,10.2,5.55,16.57,2.77,1944.62,331.43,2.31,91.48,8,1,44,0,0.0,1,2.82,0
81,940,14.57,4.58,14.35,6.05,0.0,0.0,2.39,0.0,7,6,27,1,1.0,0,4.66,0
82,441,20.67,4.16,11.12,10.45,368.71,15.31,0.33,145.86,4,2,23,2,3.0,0,4.02,0
83,166,16.61,7.02,11.51,7.9,42.88,6.86,0.54,18.11,11,5,41,0,0.0,0,4.78,0
84,833,15.6,6.31,8.59,6.64,2093.84,215.83,0.41,800.0,9,4,34,2,0.0,1,3.66,0
85,632,11.68,7.44,16.03,5.03,0.0,0.0,0.13,0.0,13,4,37,1,0.0,0,4.45,0
86,702,6.53,6.14,12.94,1.32,0.0,0.0,2.48,0.0,12,6,26,1,2.0,2,3.48,1
87,103,3.91,7.93,9.52,2.56,0.0,0.0,1.92,0.0,10,3,52,1,0.0,0,4.27,0
88,317,8.16,6.05,9.53,7.77,307.5,23.91,1.69,32.12,8,6,33,0,0.0,1,3.95,0
89,769,11.83,7.84,6.24,3.62,0.0,0.0,0.0,0.0,8,4,41,0,0.0,1,3.65,0
90,833,13.0,8.06,19.37,3.8,0.0,0.0,3.86,0.0,9,4,46,0,0.0,0,3.57,0
91,439,23.4,3.71,13.97,4.87,0.0,0.0,0.62,0.0,10,7,26,2,0.0,0,4.67,1
92,806,11.02,1.1,8.32,3.08,263.07,0.35,3.86,6.92,3,0,10,0,0.0,0,5.0,0
93,842,18.6,9.81,18.35,2.75,0.0,0.0,0.01,0.0,8,7,52,1,0.0,0,5.0,0
94,391,3.07,6.47,10.14,5.1,0.0,0.0,0.71,0.0,5,3,29,0,2.0,0,3.95,0
95,898,15.21,1.34,5.06,3.42,944.65,197.57,0.0,0.0,5,2,6,0,0.0,0,3.85,0
96,293,14.43,3.94,19.63,3.72,0.0,0.0,2.0,0.0,8,1,18,2,1.0,0,3.95,0
97,244,30.41,7.81,10.28,3.64,645.11,131.68,0.39,292.27,3,4,37,6,3.0,0,4.15,1
98,684,10.21,5.07,11.05,6.24,0.0,0.0,0.42,0.0,9,5,24,0,1.0,0,4.22,0
99,639,9.87,4.47,13.75,4.74,1751.34,137.67,0.09,0.0,8,4,31,2,2.0,1,3.35,1
100,145,20.77,9.44,20.36,4.84,603.67,58.82,2.46,34.69,12,9,47,0,1.0,0,3.44,0
101,833,4.22,3.08,13.62,6.39,0.0,0.0,2.38,0.0,7,5,18,0,0.0,0,4.28,0
102,205,14.92,3.72,6.31,4.92,0.0,0.0,3.59,0.0,3,0,20,1,0.0,1,1.96,1
103,806,4.01,6.35,16.76,4.64,489.17,78.74,0.85,187.41,6,2,41,0,2.0,0,4.19,0
104,14,39.73,6.82,10.59,6.14,60.33,1.22,1.84,6.67,6,9,33,1,3.0,0,3.73,1
105,798,8.83,7.09,24.83,6.54,90.58,16.54,0.18,0.0,13,5,42,0,0.0,0,4.68,0
106,788,3.75,8.17,13.49,4.91,1189.77,53.45,1.23,171.38,14,8,36,0,0.0,0,4.83,0
107,781,8.11,6.32,1.0,5.36,0.0,0.0,1.03,0.0,6,3,38,0,0.0,0,4.84,0
108,667,14.99,7.07,15.64,3.64,191.99,6.57,2.11,11.32,7,9,31,1,0.0,0,4.06,0
109,475,18.18,5.13,25.17,3.48,797.99,22.68,2.72,30.47,8,4,22,1,2.0,0,3.63,0
110,707,29.35,5.96,22.96,6.74,656.07,117.18,2.69,40.72,7,3,29,0,0.0,1,3.45,1
111,282,7.29,6.08,24.49,6.09,93.91,16.91,0.67,17.54,5,3,25,2,0.0,0,4.41,0
112,782,21.44,6.36,7.38,6.11,52.2,8.48,2.7,2.53,10,4,39,0,1.0,0,3.34,0
113,558,2.25,7.81,18.97,5.76,0.0,0.0,1.55,0.0,7,12,33,1,2.0,0,5.0,0
114,462,4.92,7.24,9.17,5.29,0.0,0.0,1.24,0.0,5,6,30,0,1.0,0,4.07,0
115,509,3.16,,14.85,6.59,304.66,55.41,0.82,55.34,5,6,30,3,0.0,1,4.18,0
116,571,6.2,3.7,5.86,7.07,101.47,7.86,0.98,12.02,7,2,28,3,2.0,1,2.92,1
117,44,20.76,5.98,9.63,7.02,184.82,21.85,3.52,8.43,6,6,34,0,0.0,0,3.74,0
118,145,7.45,5.73,9.44,5.0,890.54,87.3,1.94,100.01,9,7,33,0,1.0,1,2.85,1
119,250,8.7,6.3,18.89,7.97,0.0,0.0,1.79,0.0,9,5,31,1,0.0,0,4.81,0
120,120,15.29,11.54,18.3,5.66,68.56,8.67,1.31,13.72,13,4,57,0,1.0,0,4.16,0
121,443,17.64,4.44,15.16,6.46,237.22,39.01,4.29,5.7,5,3,28,0,0.0,0,4.56,0
122,670,8.92,6.9,5.4,5.76,0.0,0.0,3.04,0.0,4,9,30,0,0.0,0,4.28,0
123,656,4.89,8.58,11.63,5.69,1438.3,294.8,0.81,200.92,7,5,50,1,,0,4.51,0
124,474,35.49,6.05,9.02,3.73,750.83,87.61,1.3,67.49,5,2,33,0,0.0,0,4.06,0
125,856,8.97,11.88,18.72,6.6,289.23,11.34,1.36,47.56,15,3,56,2,2.0,0,4.14,0
126,568,9.73,4.82,20.57,10.89,2176.56,309.31,1.76,166.44,3,3,24,1,1.0,0,4.2,0
127,85,10.75,6.64,19.84,4.45,0.0,0.0,0.83,0.0,3,3,24,0,0.0,0,4.47,0
128,766,18.99,3.72,8.97,5.34,150.32,2.1,2.08,8.78,8,4,16,0,0.0,0,4.49,0
129,577,2.9,4.89,1.0,4.31,331.92,50.04,3.2,21.18,6,6,27,2,0.0,0,5.0,0
130,637,44.77,6.45,2.9,4.22,0.0,0.0,0.16,0.0,6,5,35,4,2.0,0,5.0,1
131,568,9.51,8.0,22.03,8.29,294.96,6.89,0.36,155.1,13,3,38,3,2.0,0,3.27,0
132,556,19.45,6.63,11.09,3.85,0.0,0.0,1.07,0.0,5,4,47,1,1.0,0,4.17,0
133,96,3.79,9.07,9.0,4.25,554.77,6.74,1.12,70.63,12,11,45,0,1.0,0,4.03,0
134,562,14.16,5.55,23.36,2.03,911.93,162.46,3.8,27.1,8,5,25,1,1.0,0,4.95,0
135,796,40.29,4.94,21.09,3.68,279.71,48.99,2.7,12.35,7,5,20,0,0.0,0,4.08,1
136,308,36.6,12.83,13.65,1.78,0.0,0.0,2.64,0.0,22,7,63,0,0.0,0,4.51,0
137,605,19.09,6.83,11.74,6.46,0.0,0.0,1.31,0.0,14,9,28,2,3.0,0,2.96,1
138,37,5.83,3.93,12.71,10.8,459.61,9.77,1.29,56.3,3,5,21,0,1.0,0,3.42,0
139,352,28.3,3.99,14.86,4.47,162.07,22.55,0.0,0.0,3,3,23,0,0.0,0,5.0,0
140,440,2.23,3.35,23.1,1.87,0.0,0.0,2.46,0.0,14,4,21,0,1.0,1,3.93,0
141,982,5.64,8.24,16.03,7.0,1148.05,238.55,2.14,174.64,11,6,45,0,0.0,1,3.35,0
142,220,11.73,4.85,17.86,3.75,212.5,9.71,3.01,13.11,6,3,23,2,0.0,0,4.38,0
143,281,2.47,6.13,20.52,7.8,0.0,0.0,1.37,0.0,10,6,27,2,0.0,0,3.67,0
144,412,8.09,5.63,6.48,4.64,841.12,23.74,1.44,83.17,7,7,25,0,1.0,0,4.09,0
145,992,21.74,7.7,18.03,3.94,0.0,0.0,1.79,0.0,6,3,44,0,0.0,0,3.45,0
146,854,6.78,3.6,11.73,4.84,0.0,0.0,2.58,0.0,5,2,26,0,0.0,0,3.82,0
147,41,22.46,3.0,1.0,6.72,327.29,41.27,0.0,0.0,2,1,23,2,1.0,0,4.02,0
148,239,52.67,6.38,1.0,4.75,2144.76,471.31,2.41,118.84,8,4,37,1,0.0,0,4.87,1
149,822,16.64,7.36,7.39,4.21,1795.89,10.24,1.58,163.17,4,6,46,1,1.0,1,4.16,1
150,64,22.19,6.66,16.69,4.8,328.08,0.02,0.44,140.49,8,4,48,1,1.0,0,4.6,0
151,856,28.96,3.7,14.18,2.66,390.59,30.11,0.0,0.0,6,2,28,0,,2,,1
152,286,8.74,7.56,14.61,5.99,640.25,51.57,1.45,45.5,10,4,32,0,0.0,0,4.7,0
153,918,21.83,3.87,25.21,1.63,0.0,0.0,3.19,0.0,5,0,20,1,2.0,0,,1
154,298,8.56,4.44,5.89,4.31,518.28,104.05,3.44,19.42,8,2,30,1,1.0,1,3.5,1
155,438,15.79,3.35,13.34,6.72,,0.0,1.99,0.0,5,3,23,1,0.0,0,4.47,0
156,664,24.17,9.18,15.33,5.81,304.73,9.6,3.76,9.38,6,0,54,1,0.0,0,4.1,0
157,132,6.08,7.45,9.08,6.38,71.35,6.47,1.55,4.95,7,4,43,0,0.0,0,4.24,0
158,560,0.81,7.37,13.67,5.07,415.95,68.25,2.65,27.65,8,2,36,2,4.0,0,4.16,0
159,508,5.57,9.04,3.9,7.54,204.0,14.03,1.1,23.61,11,6,32,0,1.0,0,4.94,0
160,785,26.67,13.11,21.96,7.05,0.0,0.0,1.03,0.0,12,15,56,0,1.0,0,4.97,0
161,996,4.94,1.36,9.41,6.09,232.46,12.13,0.85,35.96,2,1,14,1,0.0,1,3.56,0
162,666,25.66,3.88,25.69,7.06,516.74,36.77,0.0,0.0,7,3,18,0,0.0,0,3.28,0
163,413,5.59,4.2,13.31,6.7,380.13,71.96,3.02,41.36,2,2,23,0,1.0,0,3.86,0
164,410,10.48,3.59,19.67,4.32,114.09,6.29,0.89,13.17,11,4,23,3,0.0,0,3.76,0
165,422,12.37,3.0,13.18,2.51,1834.24,389.14,0.72,281.21,3,2,18,1,0.0,0,4.71,0
166,815,4.92,5.02,13.32,6.04,300.8,20.27,0.3,197.77,10,1,24,1,2.0,2,4.06,0
167,325,10.57,2.64,10.0,6.29,374.95,1.94,1.38,27.31,0,4,14,0,0.0,0,3.68,0
168,172,2.65,6.67,14.21,7.38,896.53,50.28,3.54,48.52,6,5,36,1,1.0,1,3.49,0
169,338,9.4,5.93,15.41,3.33,329.75,12.42,3.9,13.6,16,1,32,2,0.0,0,3.44,0
170,29,11.59,7.05,8.79,3.39,0.0,0.0,0.0,0.0,9,5,35,0,0.0,0,4.32,0
171,112,0.87,7.12,12.75,6.12,0.0,0.0,1.21,0.0,4,7,46,1,2.0,1,3.88,0
172,96,5.52,7.37,9.84,5.06,0.35,0.05,0.46,0.12,6,3,37,1,0.0,2,3.98,0
173,773,15.44,4.83,27.3,1.43,613.46,118.08,2.69,29.81,12,2,22,1,1.0,0,4.52,0
174,724,4.39,11.31,12.96,5.95,33.41,2.66,1.92,4.46,9,1,51,0,1.0,0,4.59,0
175,698,17.36,6.41,22.77,1.5,648.91,24.05,0.9,121.08,9,3,35,1,3.0,0,3.4,1
176,465,18.6,0.96,12.33,3.31,218.12,19.2,1.68,25.14,2,2,10,0,2.0,1,3.56,1
177,719,15.39,3.19,15.06,7.9,1212.74,209.7,1.07,145.82,3,2,20,0,0.0,0,4.77,0
178,167,21.64,1.27,5.57,8.85,50.3,6.55,3.38,3.77,1,1,18,3,5.0,0,3.95,1
179,901,2.46,5.85,10.82,2.77,393.95,8.77,2.2,38.65,7,3,33,0,0.0,0,3.35,0
180,504,24.92,5.48,14.76,4.54,419.07,49.53,2.34,22.47,7,4,29,1,3.0,2,3.99,1
181,938,4.99,4.58,23.02,5.29,1560.94,160.74,0.0,0.0,10,2,21,0,0.0,0,3.93,0
182,158,13.48,11.03,14.83,8.76,0.0,0.0,1.53,0.0,12,5,59,0,1.0,1,4.48,0
183,500,39.23,7.23,21.8,4.21,5.08,0.12,3.89,0.16,14,8,41,2,5.0,1,3.89,1
184,698,9.24,7.69,17.34,4.25,692.48,149.47,3.06,27.09,7,5,35,0,1.0,2,3.4,1
185,499,12.61,3.38,23.26,8.3,1642.96,63.63,0.0,0.0,5,3,19,2,1.0,0,5.0,0
186,450,5.02,3.2,13.15,4.45,262.9,,1.26,23.36,3,0,23,0,1.0,0,3.53,0
187,172,38.98,5.9,27.84,6.64,51.06,1.64,0.28,22.74,7,4,24,3,4.0,1,4.69,1
188,385,5.54,6.25,10.59,2.25,610.16,76.54,3.48,32.6,8,5,32,1,0.0,0,3.9,0
189,244,19.77,0.97,8.9,4.86,711.7,69.47,1.87,45.63,3,1,13,0,0.0,0,4.34,0
190,306,28.92,5.33,6.24,1.88,31.56,1.73,0.76,5.16,4,2,27,1,2.0,0,4.34,1
191,685,21.12,5.84,27.49,3.09,311.33,29.41,1.64,26.38,7,7,29,0,0.0,0,4.02,0
192,632,16.1,5.24,18.42,6.88,1063.6,157.6,0.0,0.0,10,2,24,0,0.0,0,3.83,0
193,609,13.33,3.69,11.5,5.1,2421.67,150.08,0.41,731.52,5,2,23,0,2.0,2,3.35,1
194,366,3.75,4.4,20.99,4.56,597.77,120.36,1.64,36.47,6,4,34,1,0.0,0,3.69,0
195,959,37.83,5.34,17.63,3.7,171.63,11.57,2.53,9.62,8,5,22,1,0.0,0,5.0,0
196,94,15.14,6.04,25.3,4.76,132.19,5.76,0.0,0.0,5,1,30,1,3.0,0,3.99,0
197,347,12.62,7.37,4.21,5.8,454.44,95.43,1.18,46.88,10,6,34,1,1.0,0,4.89,0
198,124,4.62,8.61,11.91,7.17,109.36,19.5,2.71,4.49,11,5,54,1,0.0,0,4.81,0
199,343,13.09,5.03,10.72,1.0,237.67,17.94,0.0,0.0,7,2,30,1,2.0,1,4.1,1
200,962,12.01,4.61,1.66,3.54,,0.0,1.85,0.0,10,5,31,0,0.0,0,4.18,1
201,370,39.23,6.94,19.86,5.52,1225.95,139.93,1.67,176.27,13,5,38,3,2.0,0,4.36,1
202,909,12.61,7.39,11.88,5.0,0.0,0.0,3.49,0.0,9,4,26,2,2.0,1,4.21,1
203,498,12.93,4.67,17.94,6.01,11.88,2.19,1.35,1.44,7,5,26,1,2.0,1,3.96,1
204,701,4.68,7.86,27.66,5.74,194.79,32.23,1.41,19.73,7,4,38,0,1.0,1,3.04,0
205,461,6.58,8.35,11.38,4.59,2704.21,177.21,2.54,123.97,8,1,50,1,0.0,0,3.25,0
206,271,18.13,9.16,10.97,4.15,14.36,1.92,0.14,0.0,11,4,55,0,0.0,0,5.0,0
207,765,1.95,10.42,14.21,4.71,0.0,0.0,1.36,0.0,12,7,47,0,0.0,0,2.8,0
208,969,24.83,3.55,19.42,7.5,0.0,0.0,1.1,0.0,6,2,24,1,3.0,0,4.36,0
209,268,25.3,5.84,10.1,3.74,1869.42,395.57,1.45,295.08,6,7,42,0,0.0,0,4.12,0
210,780,5.97,5.83,9.71,5.07,0.0,0.0,2.53,0.0,8,4,32,0,1.0,0,4.34,0
211,266,16.14,5.55,19.84,5.57,,0.0,2.21,0.0,3,4,29,0,0.0,0,3.62,0
212,718,29.57,4.11,15.77,8.32,5943.7,784.43,0.78,800.0,7,8,19,0,0.0,0,4.44,0
213,790,11.26,1.94,1.23,4.6,478.42,57.96,1.75,40.09,5,0,13,0,0.0,0,4.36,0
214,453,9.66,6.04,6.15,7.12,0.0,0.0,3.24,0.0,9,2,39,0,0.0,0,5.0,0
215,738,10.64,3.8,22.51,7.66,136.87,29.25,0.69,26.46,9,1,24,2,,0,4.32,0
216,277,15.11,6.02,15.91,5.07,181.58,24.83,1.76,18.73,8,6,31,0,0.0,0,4.99,0
217,85,7.35,3.74,8.93,4.78,690.23,101.88,1.39,163.63,4,1,24,0,0.0,0,3.43,0
218,102,9.0,2.94,12.48,4.54,2288.94,229.02,1.53,392.65,9,3,17,0,0.0,0,4.81,0
219,450,15.34,6.41,13.58,4.69,344.99,21.85,0.0,0.0,11,8,35,1,1.0,0,4.37,0
220,903,8.4,6.19,17.91,6.91,0.0,0.0,3.15,0.0,9,2,28,1,0.0,0,4.4,0
221,133,4.29,7.31,5.35,5.66,636.33,49.03,0.75,161.2,10,1,38,0,0.0,0,4.41,0
222,459,1.75,11.48,8.45,5.67,0.0,0.0,2.73,0.0,12,6,61,2,2.0,0,5.0,0
223,706,12.8,6.52,15.14,2.95,0.0,0.0,0.92,0.0,10,3,35,1,3.0,2,3.69,1
224,207,28.33,7.06,12.9,3.27,0.0,0.0,0.91,0.0,9,7,39,1,2.0,0,3.82,1
225,723,16.74,3.0,16.93,9.49,0.0,0.0,2.93,0.0,5,3,18,1,1.0,0,3.91,0
226,310,4.45,2.45,6.12,4.84,0.0,0.0,2.69,0.0,3,1,9,1,3.0,1,4.35,1
227,810,6.54,9.92,15.64,3.65,0.0,0.0,1.83,0.0,8,3,56,1,1.0,0,4.5,0
228,582,9.6,3.4,20.05,8.06,301.83,9.91,2.44,25.67,4,2,24,0,0.0,0,3.41,0
229,550,40.07,3.09,16.42,5.76,0.0,0.0,1.28,0.0,5,3,26,1,0.0,1,4.18,1
230,182,41.51,5.7,14.33,6.36,0.0,0.0,1.59,0.0,15,8,22,1,2.0,0,3.65,1
231,466,38.33,5.57,12.92,4.92,0.0,0.0,0.87,0.0,4,3,30,1,2.0,0,4.49,1
232,857,13.81,3.45,8.49,4.56,1.68,0.06,2.59,0.1,7,7,17,2,1.0,1,3.46,1
233,26,60.0,5.01,13.07,4.86,0.0,0.0,0.84,0.0,6,3,32,1,2.0,0,4.1,1
234,760,6.83,9.0,21.06,2.43,1593.69,86.64,3.23,71.66,9,4,50,0,0.0,1,3.6,0
235,496,9.31,3.7,12.79,5.02,0.0,0.0,1.25,0.0,3,3,14,0,0.0,0,5.0,0
236,721,23.52,2.18,8.16,5.79,723.52,24.86,1.62,52.02,3,5,21,3,0.0,0,4.47,1
237,665,15.4,8.25,10.55,8.9,145.84,6.23,2.43,6.18,12,5,38,0,1.0,0,4.94,0
238,436,16.05,7.08,14.71,5.37,136.72,26.45,1.63,21.48,11,6,40,1,3.0,0,5.0,0
239,313,5.2,4.19,11.26,1.0,0.0,0.0,1.27,0.0,3,5,21,2,3.0,0,4.28,0
240,629,11.94,1.69,16.41,5.01,130.4,0.54,1.57,10.49,5,4,7,0,0.0,0,5.0,0
241,146,6.92,3.86,16.64,10.68,0.0,0.0,2.58,0.0,4,2,17,3,6.0,2,3.17,1
242,587,3.49,5.66,18.83,6.93,228.2,43.31,0.87,46.62,7,2,29,0,0.0,0,4.94,0
243,101,7.65,8.83,22.04,3.58,68.54,4.92,1.46,8.68,6,7,45,3,0.0,1,3.46,0
244,652,15.4,3.1,19.48,6.38,0.0,0.0,1.61,0.0,7,0,17,1,1.0,0,4.24,0
245,631,20.91,5.58,7.89,3.72,837.78,181.04,2.55,33.25,7,1,35,0,1.0,0,4.55,0
246,90,1.67,7.56,8.08,2.49,368.22,54.82,1.49,34.1,13,3,46,4,4.0,2,3.93,1
